image_url,top1_class,top1_confidence,top2_class,top2_confidence,top3_class,top3_confidence
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080005526548/dpD6xKPpTxu4IBvSHqvkj9_null_bigImg_1766562334.jpg,SHENZHAN,26.88,MT2,23.76,LINKWELL,14.11
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080020584134/e3L5FZgoRMGR3d3i0jGxIO_null_bigImg_1766562330.jpg,EPPELTONE2,27.67,VISIONTEK,23.81,HPL3,22.96
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080011609775/cwL1MJkqReiX2xrJLN8wIC_null_bigImg_1766562329.jpg,LANDIS2,23.69,LT1,12.99,AVON2,11.49
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080037088400/cyb2MXIbQ3ytwb_qxwEWYE_null_bigImg_1766562323.jpg,CAPITAL,24.89,BENTEC2,13.87,ELYMER1,13.17
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080020584134/e3L5FZgoRMGR3d3i0jGxIO_null_bigImg_1766562321.jpg,LT1,46.69,LINKWELL,13.23,EPPELTONE1,10.15
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080011558196/fMbpgzXhQMG2SNWN9fqaES_null_bigImg_1766562315.jpg,SHENZHAN,48.87,VISIONTEK,30.11,HPL1,7.26
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080024692859/fPUgNiKwRTSiZh24jqH6pP_null_bigImg_1766562307.jpg,EPPELTONE2,41.07,CAPITAL,25.87,LAN2,14.78
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080033392418/cE33IaFpRSedR7lnM-WUg0_null_bigImg_1766562304.jpg,HPL1,34.55,HPL2,25.49,LANDIS3,14.71
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080013385630/eSx1kNsITDKPx-k8mrY6Wm_null_bigImg_1766562303.jpg,CAPITAL,19.37,HPL3,17.04,LANDIS2,15.05
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080020526655/c8Y48_fvTXyzr8-fNLILy5_null_bigImg_1766562299.jpg,GENUS3,46.05,GENUS2,44.4,GENUS5,8.06
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080012526424/frJvk7zMTHSwIH8BKF5CeT_null_bigImg_1766562287.jpg,GENUS1,45.34,GENUS5,40.53,LAN2,11.32
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080036257311/f9wpl7ExRTuki1uaMB3LtG_null_bigImg_1766562285.jpg,LAN2,30.96,HPL1,24.14,LANDIS2,12.33
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080025495393/dNaIpiATTlavg0JDt2-LYc_null_bigImg_1766562286.jpg,GENUS5,44.89,LINKWELL,34.13,GENUS1,3.39
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080015746060/cvlYyJc8SWOs8tHO1aHsP9_null_bigImg_1766562276.jpg,GENUS1,36.87,LANDIS2,34.46,LAN2,6.72
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080024784169/eNVOjfZ1TeWd_hgCi06Emt_null_bigImg_1766562272.jpg,LANDIS3,49.66,HPL1,35.13,ELYMER3,2.84
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080030794855/e8cSQ0HhRrKoM0qPXIxPbB_null_bigImg_1766562266.jpg,GENUS1,43.8,EPPELTONE1,11.17,GENUS2,10.32
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080012526424/frJvk7zMTHSwIH8BKF5CeT_null_bigImg_1766562265.jpg,GENUS1,38.4,GENUS5,33.08,LAN2,20.08
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080015746060/cvlYyJc8SWOs8tHO1aHsP9_null_bigImg_1766562265.jpg,LANDIS2,43.4,GENUS1,30.09,GENUS5,6.98
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080010765636/ftFHoL_cQjmkhminfaesag_null_bigImg_1766562259.jpg,LT2,35.11,EPPELTONE1,17.13,LT4,16.57
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080016916118/eDkoGZhqROmv9v9yUfaGYj_null_bigImg_1766562256.jpg,GENUS1,17.24,MT1,11.96,LINKWELL,11.8
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080033183049/cflxIYOXSIiQWukqZ9LHSc_null_bigImg_1766562255.jpg,SARAL,48.27,HPL2,37.48,CAPITAL,3.67
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080010679407/e2nJQQ9LS3uc6bDVKPHCg1_null_bigImg_1766562248.jpg,LINKWELL,39.5,GENUS1,13.08,GENUS5,9.93
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080014572343/cUoXgHXITaGoElpKmrhgnk_null_bigImg_1766562241.jpg,GENUS5,20.08,LT1,19.16,AMTL,18.81
